timestamp,open,high,low,close,volume,volCcy,volCcyQuote,confirm
2025-06-30 09:00:00,39.778,39.931,39.764,39.88,154271,15427.1,615074.5483,1
2025-06-30 09:15:00,39.878,40.014,39.815,40.0,286747,28674.7,1145608.4793,1
2025-06-30 09:30:00,40.0,40.031,39.783,39.804,243553,24355.3,972612.6157,1
2025-06-30 09:45:00,39.796,39.918,39.768,39.815,172661,17266.1,688050.175,1
2025-06-30 10:00:00,39.814,40.076,39.8,40.064,319245,31924.5,1276006.1854,1
2025-06-30 10:15:00,40.064,40.064,39.763,39.868,239942,23994.2,956754.5991,1
2025-06-30 10:30:00,39.867,40.023,39.734,39.877,154570,15457.0,616544.9411,1
2025-06-30 10:45:00,39.882,39.966,39.728,39.812,78407,7840.7,312146.9411,1
2025-06-30 11:00:00,39.811,39.937,39.709,39.884,140393,14039.3,558906.0245,1
2025-06-30 11:15:00,39.884,40.054,39.772,39.925,211891,21189.1,846082.9891,1
2025-06-30 11:30:00,39.925,40.058,39.856,39.985,263963,26396.3,1055689.619,1
2025-06-30 11:45:00,39.988,40.071,39.858,39.944,97868,9786.8,391181.5865,1
2025-06-30 12:00:00,39.94,40.043,39.908,39.986,101900,10190.0,407358.8029,1
2025-06-30 12:15:00,39.982,40.092,39.82,39.905,310334,31033.4,1239450.0103,1
2025-06-30 12:30:00,39.892,40.023,39.774,39.932,155065,15506.5,617897.1381,1
2025-06-30 12:45:00,39.934,40.028,39.777,39.872,139536,13953.6,556464.9509,1
2025-06-30 13:00:00,39.879,39.954,39.82,39.832,83386,8338.6,332560.1244,1
2025-06-30 13:15:00,39.84,40.24,39.828,40.178,359584,35958.4,1442653.5877,1
2025-06-30 13:30:00,40.182,40.347,39.957,40.152,475452,47545.2,1910690.9282,1
2025-06-30 13:45:00,40.151,40.211,39.927,39.952,235589,23558.9,943632.0812,1
2025-06-30 14:00:00,39.959,40.052,39.577,39.948,692439,69243.9,2753777.375,1
2025-06-30 14:15:00,39.949,40.253,39.807,39.908,581591,58159.1,2327913.1078,1
2025-06-30 14:30:00,39.917,40.155,39.811,40.045,208606,20860.6,834991.1868,1
2025-06-30 14:45:00,40.05,40.09,39.419,39.466,823204,82320.4,3268577.1921,1
2025-06-30 15:00:00,39.469,39.748,39.251,39.373,875052,87505.2,3452807.9356,1
2025-06-30 15:15:00,39.369,39.804,39.165,39.76,665725,66572.5,2625487.8788,1
2025-06-30 15:30:00,39.756,39.987,39.58,39.853,766318,76631.8,3052189.9935,1
2025-06-30 15:45:00,39.845,40.133,39.795,39.881,841709,84170.9,3367126.9388,1
2025-06-30 16:00:00,39.887,40.09,39.679,40.064,351801,35180.1,1402636.9149,1
2025-06-30 16:15:00,40.062,40.102,39.757,39.852,336564,33656.4,1344673.8103,1
2025-06-30 16:30:00,39.851,40.266,39.8,40.252,362804,36280.4,1453602.9478,1
2025-06-30 16:45:00,40.249,40.705,40.194,40.564,830926,83092.6,3364549.9337,1
2025-06-30 17:00:00,40.568,40.682,40.205,40.61,515751,51575.1,2085733.8382,1
