timestamp,oi_contracts,openInterest,oi_usd
2025-11-09 05:20:00,10491138,1049113.8,42027498.828
2025-11-09 05:25:00,10493043,1049304.3,41951185.914
2025-11-09 05:30:00,10501251,1050125.1,42116317.2606
2025-11-09 05:35:00,10506605,1050660.5,42117827.4635
2025-11-09 05:40:00,10504201,1050420.1,42155459.4532
2025-11-09 05:45:00,10507411,1050741.1,42146276.2621
2025-11-09 05:50:00,10494549,1049454.9,42175493.5212
2025-11-09 05:55:00,10506858,1050685.8,42240721.2174
2025-11-09 06:00:00,10502573,1050257.3,42183584.4545
2025-11-09 06:05:00,10500000,1050000.0,42174300
2025-11-09 06:10:00,10511880,1051188.0,42135819.792
2025-11-09 06:15:00,10519744,1051974.4,42134730.6432
2025-11-09 06:20:00,10523425,1052342.5,42265231.8275
2025-11-09 06:25:00,10505250,1050525.0,42205892.4
2025-11-09 06:30:00,10513902,1051390.2,42261680.4792
2025-11-09 06:35:00,10520061,1052006.1,42246460.9638
2025-11-09 06:40:00,10517247,1051724.7,42273022.5918
2025-11-09 06:45:00,10502387,1050238.7,42147129.2697
2025-11-09 06:50:00,10508525,1050852.5,42047761.0825
2025-11-09 06:55:00,10507887,1050788.7,41968500.678
2025-11-09 07:00:00,10504124,1050412.4,41961874.5552
2025-11-09 07:05:00,10505909,1050590.9,42071963.1814
2025-11-09 07:10:00,10495366,1049536.6,41921640.4138
2025-11-09 07:15:00,10494139,1049413.9,42021680.7977
2025-11-09 07:20:00,10497162,1049716.2,41889974.6772
2025-11-09 07:25:00,10506230,1050623.0,41912503.339
2025-11-09 07:30:00,10504255,1050425.5,41991809.788
2025-11-09 07:35:00,10493181,1049318.1,42109135.353
2025-11-09 07:40:00,10482535,1048253.5,42058026.927
2025-11-09 07:45:00,10565681,1056568.1,42413813.2383
2025-11-09 07:50:00,10561169,1056116.9,42454843.2631
2025-11-09 07:55:00,10557078,1055707.8,42364498.3062
2025-11-09 08:00:00,10552437,1055243.7,42363813.5802
2025-11-09 08:05:00,10546077,1054607.7,42299260.2393
2025-11-09 08:10:00,10537240,1053724.0,42354436.18
2025-11-09 08:15:00,10531183,1053118.3,42452251.7913
2025-11-09 08:20:00,10520557,1052055.7,42359970.7048
2025-11-09 08:25:00,10513707,1051370.7,42345006.3132
2025-11-09 08:30:00,10502986,1050298.6,42399504.1834
2025-11-09 08:35:00,10487696,1048769.6,42369243.0704
2025-11-09 08:40:00,10386163,1038616.3,41702521.6776
2025-11-09 08:45:00,10361685,1036168.5,41666407.722
2025-11-09 08:50:00,10384215,1038421.5,41555551.587
2025-11-09 08:55:00,10404065,1040406.5,41536148.6995
2025-11-09 09:00:00,10419504,1041950.4,41700938.9088
2025-11-09 09:05:00,10422349,1042234.9,41708156.2282
2025-11-09 09:10:00,10431677,1043167.7,41870665.1426
2025-11-09 09:15:00,10423783,1042378.3,41728488.1056
2025-11-09 09:20:00,10422253,1042225.3,41746334.3915
2025-11-09 09:25:00,10407875,1040787.5,41798026
2025-11-09 09:30:00,10386754,1038675.4,41550132.0262
2025-11-09 09:35:00,10375363,1037536.3,41559554.0328
2025-11-09 09:40:00,10386332,1038633.2,41604530.0924
2025-11-09 09:45:00,10367350,1036735.0,41423783.66
2025-11-09 09:50:00,10348486,1034848.6,41219054.5866
2025-11-09 09:55:00,10327229,1032722.9,41098240.5284
2025-11-09 10:00:00,10301434,1030143.4,41034732.1956
2025-11-09 10:05:00,10422795,1042279.5,41255507.169
2025-11-09 10:10:00,10450828,1045082.8,41277635.3516
2025-11-09 10:15:00,10509237,1050923.7,41481009.3627
2025-11-09 10:20:00,10497722,1049772.2,41652861.3516
2025-11-09 10:25:00,10496526,1049652.6,41657562.7362
2025-11-09 10:30:00,10499136,1049913.6,41665821.216
2025-11-09 10:35:00,10623623,1062362.3,41826266.1133
2025-11-09 10:40:00,10594843,1059484.3,41791358.2135
2025-11-09 10:45:00,10660585,1066058.5,42267087.408
2025-11-09 10:50:00,10682547,1068254.7,42366981.402
2025-11-09 10:55:00,10672150,1067215.0,42312940.32
2025-11-09 11:00:00,10678690,1067869.0,42387992.086
2025-11-09 11:05:00,10682953,1068295.3,42512811.4635
2025-11-09 11:10:00,10699776,1069977.6,42509140.0704
2025-11-09 11:15:00,10706051,1070605.1,42683954.7319
2025-11-09 11:20:00,10680868,1068086.8,42526944.0288
2025-11-09 11:25:00,10657343,1065734.3,42419422.3429
2025-11-09 11:30:00,10644114,1064411.4,42351865.1946
2025-11-09 11:35:00,10620184,1062018.4,42168502.5904
2025-11-09 11:40:00,10621491,1062149.1,42064290.8073
2025-11-09 11:45:00,10619346,1061934.6,42253315.7994
2025-11-09 11:50:00,10638316,1063831.6,42404327.576
2025-11-09 11:55:00,10647322,1064732.2,42232602.713
2025-11-09 12:00:00,10654616,1065461.6,42312676.5208
2025-11-09 12:05:00,10651034,1065103.4,42224959.1896
2025-11-09 12:10:00,10650324,1065032.4,42240250.0164
2025-11-09 12:15:00,10659408,1065940.8,42218717.2656
2025-11-09 12:20:00,10701043,1070104.3,42742105.9506
2025-11-09 12:25:00,10758613,1075861.3,43005403.7449
2025-11-09 12:30:00,10760879,1076087.9,42868113.6723
2025-11-09 12:35:00,10759832,1075983.2,42851030.94
2025-11-09 12:40:00,10786361,1078636.1,42952368.1381
2025-11-09 12:45:00,10806214,1080621.4,43060601.5472
2025-11-09 12:50:00,10783487,1078348.7,43170611.8558
2025-11-09 12:55:00,10761656,1076165.6,43029405.3504
2025-11-09 13:00:00,10648252,1064825.2,42435413.8704
2025-11-09 13:05:00,10644896,1064489.6,42445458.3104
2025-11-09 13:10:00,10639190,1063919.0,42470582.561
2025-11-09 13:15:00,10679114,1067911.4,42849944.925
2025-11-09 13:20:00,10647749,1064774.9,42637846.0956
2025-11-09 13:25:00,10641370,1064137.0,42720844.002
2025-11-09 13:30:00,10636165,1063616.5,42703138.8585
2025-11-09 13:35:00,10636577,1063657.7,42677137.8971
2025-11-09 13:40:00,10634963,1063496.3,42640884.1485
2025-11-09 13:45:00,10627923,1062792.3,42560580.4458
2025-11-09 13:50:00,10607904,1060790.4,42649078.032
2025-11-09 13:55:00,10634348,1063434.8,42810694.7436
2025-11-09 14:00:00,10613440,1061344.0,42686194.336
2025-11-09 14:05:00,10607669,1060766.9,42508111.9837
2025-11-09 14:10:00,10582387,1058238.7,42546486.9335
2025-11-09 14:15:00,10598409,1059840.9,42657536.3841
2025-11-09 14:20:00,10627110,1062711.0,43006851.459
2025-11-09 14:25:00,10603223,1060322.3,43028939.2563
2025-11-09 14:30:00,10505384,1050538.4,43074175.4768
2025-11-09 14:35:00,10507344,1050734.4,42999203.8512
2025-11-09 14:40:00,10480578,1048057.8,42850891.2108
2025-11-09 14:45:00,10477096,1047709.6,42591490.6592
2025-11-09 14:50:00,10497689,1049768.9,42430609.1691
