timestamp,open,high,low,close,volume,volCcy,volCcyQuote,confirm
2025-10-26 21:00:00,1.1313,1.137,1.1308,1.1363,417801,417801,473715.4785,1
2025-10-26 21:15:00,1.1364,1.1407,1.1329,1.1335,752813,752813,856170.0662,1
2025-10-26 21:30:00,1.1335,1.1335,1.1188,1.1308,2399371,2399371,2698969.2676,1
2025-10-26 21:45:00,1.1308,1.1351,1.1267,1.1342,638442,638442,723018.4637,1
2025-10-26 22:00:00,1.1341,1.1566,1.1341,1.148,5069785,5069785,5816946.7556,1
2025-10-26 22:15:00,1.1477,1.1492,1.1385,1.1409,1935866,1935866,2211900.1307,1
2025-10-26 22:30:00,1.1408,1.1519,1.1393,1.1516,1516766,1516766,1737798.9372,1
2025-10-26 22:45:00,1.1515,1.1574,1.1515,1.1542,1395965,1395965,1611524.3784,1
2025-10-26 23:00:00,1.1543,1.1622,1.1538,1.1594,1349905,1349905,1563662.5567,1
2025-10-26 23:15:00,1.1594,1.1596,1.1554,1.1575,909967,909967,1053583.9171,1
2025-10-26 23:30:00,1.1574,1.1598,1.1495,1.1511,1195169,1195169,1381153.8622,1
2025-10-26 23:45:00,1.1512,1.1545,1.1433,1.1485,1595569,1595569,1830606.3172,1
2025-10-27 00:00:00,1.1486,1.1591,1.1442,1.1569,1093138,1093138,1262014.2591,1
2025-10-27 00:15:00,1.157,1.1595,1.1548,1.1594,841876,841876,974027.3986,1
2025-10-27 00:30:00,1.1593,1.1632,1.155,1.1602,1445972,1445972,1675886.0899,1
2025-10-27 00:45:00,1.1602,1.1632,1.1528,1.1536,1076608,1076608,1246658.1384,1
2025-10-27 01:00:00,1.1536,1.1588,1.1518,1.1527,826356,826356,954703.9129,1
2025-10-27 01:15:00,1.1527,1.1601,1.1526,1.1589,1080885,1080885,1250680.3344,1
2025-10-27 01:30:00,1.1588,1.1661,1.1573,1.1581,1476717,1476717,1717158.1743,1
2025-10-27 01:45:00,1.1581,1.161,1.1571,1.1593,874979,874979,1013870.3312,1
2025-10-27 02:00:00,1.1593,1.1676,1.1561,1.1602,1857744,1857744,2160794.332,1
2025-10-27 02:15:00,1.1603,1.1663,1.1544,1.1567,951742,951742,1103801.6393,1
2025-10-27 02:30:00,1.1569,1.1622,1.1523,1.1615,1345254,1345254,1554956.1633,1
2025-10-27 02:45:00,1.1616,1.162,1.1508,1.1552,857294,857294,991119.4352,1
2025-10-27 03:00:00,1.1551,1.1602,1.153,1.1564,750886,750886,868938.5978,1
2025-10-27 03:15:00,1.1564,1.1584,1.1523,1.1561,700690,700690,809701.7802,1
2025-10-27 03:30:00,1.156,1.1575,1.1521,1.1526,550141,550141,635190.2068,1
2025-10-27 03:45:00,1.1525,1.1582,1.1515,1.1564,603454,603454,697556.2331,1
2025-10-27 04:00:00,1.1565,1.1583,1.1453,1.1476,1154480,1154480,1328849.283,1
2025-10-27 04:15:00,1.1475,1.1505,1.146,1.1466,624319,624319,716739.7939,1
2025-10-27 04:30:00,1.1466,1.1468,1.137,1.1424,1369686,1369686,1563089.2037,1
2025-10-27 04:45:00,1.1423,1.1512,1.1392,1.1507,1326827,1326827,1520471.1332,1
2025-10-27 05:00:00,1.1507,1.1673,1.1502,1.1658,2163347,2163347,2512202.3862,1
2025-10-27 05:15:00,1.1658,1.1676,1.163,1.1663,1393259,1393259,1624149.5621,1
2025-10-27 05:30:00,1.1663,1.1663,1.1546,1.1559,2270291,2270291,2631242.8998,1
2025-10-27 05:45:00,1.1558,1.1559,1.1386,1.1388,1683945,1683945,1930783.4181,1
2025-10-27 06:00:00,1.1389,1.1411,1.1228,1.1275,3960736,3960736,4475330.6363,1
2025-10-27 06:15:00,1.1276,1.1337,1.1263,1.1325,1050820,1050820,1187713.6227,1
2025-10-27 06:30:00,1.1326,1.1326,1.1212,1.1298,1321702,1321702,1488574.6739,1
2025-10-27 06:45:00,1.1297,1.138,1.1269,1.1351,1717651,1717651,1946111.5117,1
2025-10-27 07:00:00,1.1351,1.1447,1.1242,1.127,2170354,2170354,2461564.6032,1
2025-10-27 07:15:00,1.127,1.134,1.1252,1.1287,1201320,1201320,1356423.9507,1
2025-10-27 07:30:00,1.1287,1.1307,1.0365,1.0941,13312353,13312353,14465009.7646,1
2025-10-27 07:45:00,1.0941,1.0955,1.0822,1.0859,3990895,3990895,4341952.6056,1
2025-10-27 08:00:00,1.0859,1.1176,1.0763,1.0833,6124348,6124348,6692867.5503,1
2025-10-27 08:15:00,1.0834,1.0848,1.0608,1.0613,4325888,4325888,4641603.1146,1
2025-10-27 08:30:00,1.0611,1.0782,1.0578,1.0758,2268588,2268588,2429953.8613,1
2025-10-27 08:45:00,1.0759,1.0788,1.0702,1.0739,1463683,1463683,1572326.0345,1
2025-10-27 09:00:00,1.0738,1.078,1.0663,1.0764,1952009,1952009,2092846.4363,1
2025-10-27 09:15:00,1.0764,1.0848,1.0713,1.0836,2271070,2271070,2448918.6757,1
